indicator_group,epa_short_name,in_2013_2014,2013_2014_dataset_s,2013_2014_epa_definition_s,in_2018_2019,2018_2019_dataset_s,2018_2019_epa_definition_s,in_2023_2024,2023_2024_dataset_s,2023_2024_epa_definition_s,cycle_presence,definition_comparison
Benthic Macroinvertebrates,FACLPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Facultative (3< PTV <7) individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Facultative (3< PTV <7) individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,FACLPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Facultative (3< PTV <7) taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Facultative (3< PTV <7) taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,FAMILY,Yes,NRSA 1314 Benthic Taxa List | NRSA 1314 Benthic Macroinvertebrate Count,Family of taxon,Yes,NRSA 1819 Benthic Macroinvertebrate Count,Family of taxon,Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Taxa List,Family of taxon | Family name | Final taxon name within fish samples,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,FEED_PT,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,Metric score for functional feeding group,Yes,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for functional feeding group,Yes,NRSA 2324 Benthic MMI,Metric score for functional feeding group,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,FFG,Yes,NRSA 1314 Benthic Taxa List,"Functional feeding group used in metric calculations;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Scraper(SC),Shredder(SH)",Yes,NRSA 1819 Benthic Macroinvertebrate Count,"Functional feeding group used in metric calculations;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Scraper(SC),Shredder(SH)",Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Taxa List,"Functional feeding group used in metric calculations;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Scraper(SC),Shredder(SH)",All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,FFG_WSA,Yes,NRSA 1314 Benthic Taxa List,"Functional feeding group assignment used in WSA-based metrics;Collector-filterer(CF),Collector-gatherer(CG),Parasite(PA),Piercer(PI),Scraper(SC),Shredder(SH)",No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,GENUS,Yes,NRSA 1314 Benthic Taxa List | NRSA 1314 Benthic Macroinvertebrate Count,Genus of taxon,Yes,NRSA 1819 Benthic Macroinvertebrate Count,Genus of taxon,Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Taxa List,"Genus of taxon | Genus name | Genus of taxon, if available",All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,HABIT,Yes,NRSA 1314 Benthic Taxa List,"Habit used in metric calculations;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)",Yes,NRSA 1819 Benthic Macroinvertebrate Count,"Habit used in metric calculations;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)",Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Taxa List,"Habit used in metric calculations;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)",All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,HABIT_WSA,Yes,NRSA 1314 Benthic Taxa List,"Habit group assignment used in WSA-based metrics;Burrower(BU),Climber(CB),Clinger(CN),Diver(DV),Planktonic(PK),Skater(SK),Sprawler(SP),Swimmer(SW)",No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,HABT_PT,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,Metric score for habit,Yes,NRSA 1819 Benthic Macroinvertebrate MMI,Metric score for habit,Yes,NRSA 2324 Benthic MMI,Metric score for habit,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,HEMININD,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Hemiptera individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,HEMINTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Hemiptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Hemiptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,HEMIPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Hemiptera individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Hemiptera individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,HEMIPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Hemiptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Hemiptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,HPRIME,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,"Shannon diversity- sum of prop_i*ln(prop_i) based only on distinct taxa, where prop_i=proportion of species i in sample",No,,,Yes,NRSA 2324 Benthic Metrics,"Shannon diversity- sum of prop_i*ln(prop_i) based only on distinct taxa, where prop_i=proportion of species i in sample",2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,INDEX_VISIT,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,Index visit Y/blank,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,INTLNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of individuals in sample with tolerance value <=3,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,INTLNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Intolerant (PTV<=3) taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Intolerant (PTV<=3) taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,INTLPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Intolerant (PTV<=3) individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Intolerant (PTV<=3) individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,INTLPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Intolerant (PTV<=3) taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Intolerant (PTV<=3) taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,IS_DISTINCT,Yes,NRSA 1314 Benthic Macroinvertebrate Count,Distinctness of taxon within sample,Yes,NRSA 1819 Benthic Macroinvertebrate Count,Distinctness of taxon within sample,Yes,NRSA 2324 Benthic Count,Distinctness of taxon within sample,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,IS_DISTINCT300,Yes,NRSA 1314 Benthic Macroinvertebrate Count,Distinctness in 300 organism subsample,Yes,NRSA 1819 Benthic Macroinvertebrate Count,Distinctness in 300 organism subsample,No,,,2013–2014 + 2018–2019,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,ITISTSN,Yes,NRSA 1314 Benthic Taxa List,Taxonomic Serial Number assigned by IT IS,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,LAT_DD83,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,Latitude (based on NAD83 datum) for stream site from NHD-based sample frame. | Latitude (based on NAD83 datum) for stream site from NHDPlusV2 Numeric. No missing values allowed.,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,LON_DD83,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,Longitude (based on NAD83 datum) for stream site from NHD-based sample frame. | Longitude (based on NAD83 datum) for stream site from NHDPlusV2 Numeric. No missing values allowed.,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,METRIC_TAXA_ROOT,Yes,NRSA 1314 Benthic Macroinvertebrate MMI | NRSA 1314 Benthic Macroinvertebrate Metrics,"Taxonomic level used in calculation of metrics: WSA=taxonomic aggregation used in WSA-based NRSA MMI,LOWEST=NRSA target taxonomic level",No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,MITENIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of mite individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,MITENTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Mite taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Mite taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,MITEPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Mite individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Mite individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,MITEPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Mite taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Mite taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,MMI_BENT,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,Benthic MMI score,Yes,NRSA 1819 Benthic Macroinvertebrate MMI,Benthic MMI score,Yes,NRSA 2324 Benthic MMI,Benthic MMI score,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,MOLLNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Mollusca individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,MOLLNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Mollusca taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Mollusca taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,MOLLPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Mollusca individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Mollusca individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,MOLLPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Mollusca taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Mollusca taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,NOINNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of non-insects individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,NOINNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Non-insects taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Non-insects taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,NOINPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Non-insects individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Non-insects individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,NOINPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Non-insects taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Non-insects taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,NON_TARGET,Yes,NRSA 1314 Benthic Taxa List,Operational taxon unit for NRSA O/E,Yes,NRSA 1819 Benthic Macroinvertebrate Count,Operational taxon unit for NRSA O/E,Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Taxa List,Operational taxon unit for NRSA O/E,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,NTOLNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of individuals in sample with tolerance value <6,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,NTOLNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of non-tolerants (PTV<6) taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of non-tolerants (PTV<6) taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,NTOLPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% non-tolerants (PTV<6) individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% non-tolerants (PTV<6) individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,NTOLPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% non-tolerants (PTV<6) taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% non-tolerants (PTV<6) taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,ODONNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Odonata individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,ODONNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Odonata taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Odonata taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,ODONPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Odonata individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Odonata individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,ODONPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Odonata taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Odonata taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,OE_SCORE,Yes,NRSA 1314 Benthic Macroinvertebrate MMI,O/E score for benthic sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,OLLENIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of oligochaete and leech individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,OLLENTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Oligochaete and leech taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Oligochaete and leech taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,OLLEPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Oligochaete and leech individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Oligochaete and leech individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,OLLEPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Oligochaete and leech taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Oligochaete and leech taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,ORDER,Yes,NRSA 1314 Benthic Taxa List | NRSA 1314 Benthic Macroinvertebrate Count,Order of taxon,Yes,NRSA 1819 Benthic Macroinvertebrate Count,Order of taxon,Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Taxa List,Order of taxon | Order name,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,ORTHCHIRPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Chironomidae individuals in Orthocladiinae,No,,,Yes,NRSA 2324 Benthic Metrics,% Chironomidae individuals in Orthocladiinae,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,ORTHNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Orthocladiinae individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,ORTHNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Orthocladiinae chironomid taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Orthocladiinae chironomid taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,ORTHPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Orthocladiinae chironomid individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Orthocladiinae chironomid individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,ORTHPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Orthocladiinae chironomid taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Orthocladiinae chironomid taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,OTU_NRSA,Yes,NRSA 1314 Benthic Taxa List,Family name,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,PHYLUM,Yes,NRSA 1314 Benthic Taxa List | NRSA 1314 Benthic Macroinvertebrate Count,Phylum of taxon,Yes,NRSA 1819 Benthic Macroinvertebrate Count,Phylum of taxon,Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Taxa List,Phylum of taxon | Phylum name,All three cycles,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,PLECNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of Plecoptera individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,PLECNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Plecoptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Plecoptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,PLECPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Plecoptera individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Plecoptera individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,PLECPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Plecoptera taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Plecoptera taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,PREDNIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,Number of predator individuals in sample,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,PREDNTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,No. of Predators taxa,No,,,Yes,NRSA 2324 Benthic Metrics,No. of Predators taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,PREDPIND,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Predators individuals,No,,,Yes,NRSA 2324 Benthic Metrics,% Predators individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,PREDPTAX,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,% Predators taxa,No,,,Yes,NRSA 2324 Benthic Metrics,% Predators taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Benthic Macroinvertebrates,PSTL_CODE,Yes,NRSA 1314 Benthic Macroinvertebrate MMI | NRSA 1314 Benthic Macroinvertebrate Metrics,"State two-letter postal code | State two letter postal code 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing values allowed.",No,,,Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Metrics | NRSA 2324 Benthic MMI,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing or \blank\"" values allowed.""",2013–2014 + 2023–2024,EPA label differs and/or is blank across cycles
